"Drive Speed, n",Unit,Leakage Filter Clog,"Leakage Flow, QL",Unit,Main Flow Filter Clog,"Main Flow, Q ",Unit,Pilot_X1,Unit,Pilot_X2,Unit,"Pressure Remote, G",Unit,Pressure_A,Unit,Pressure _B,Unit,Recirculation Filter Clog
1577.053308,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1619.57705,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1598.363833,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1633.492142,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1616.171258,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1657.429992,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1558.175492,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1581.6268,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1639.038717,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1577.150617,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1623.177458,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1579.777942,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1628.237492,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1556.034708,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1640.887575,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1573.063667,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1693.531383,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1545.914642,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1652.369958,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1552.531608,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1656.94345,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1556.618558,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1672.902017,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1591.844175,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1699.953733,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1534.33495,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1637.871017,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1618.603967,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1589.022233,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1622.593608,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1587.854533,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1620.452825,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1564.013992,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1608.775825,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.2125,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1578.026392,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1673.29125,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1551.461217,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
